dbn,school_name,applications,acceptances,per_pupil_spending,avg_class_size,asian_percent,black_percent,hispanic_percent,multiple_percent,white_percent,rigorous_instruction,collaborative_teachers,supportive_environment,effective_school_leadership,strong_family_community_ties,trust,disability_percent,poverty_percent,ESL_percent,school_size,student_achievement,reading_scores_exceed,math_scores_exceed
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,0,24890,20.15,3.3,31.8,61.3,0.9,2.7,2.04,2.4,2.3,2.45,3.33,2.32,36.6,97.6,7.5,333,2.7,0.33,0.26
01M140,P.S. 140 NATHAN STRAUS,6,0,23536,24.56,5.7,12.4,78.7,0.5,2.7,3.41,3.25,2.5,4.11,3.12,3.26,31,87.3,9.7,371,2.71,0.31,0.24
01M184,P.S. 184M SHUANG WEN,67,23,16206,29.69,69.4,3.7,13.5,6.1,7.3,2.98,2.96,3.68,2.75,3.38,2.91,16.5,67.5,15.1,684,4.28,0.68,0.74
01M188,P.S. 188 THE ISLAND SCHOOL,0,0,21960,24.09,1.8,29.3,66.1,0,2.8,3.87,4.25,3.79,4.99,4.99,4.99,29.1,91.5,15.9,433,4.54,0.28,0.24
01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",11,0,25444,15.8,3.8,32.1,54.7,3.8,5.7,,,,,,,42.5,82.1,2.8,106,,0.33,0.2
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,13,0,34000,12.5,8.9,23.2,63.1,1,3.9,2.84,4.02,3.39,3.95,3.54,4.16,44.3,87.7,5.4,203,2.51,0.27,0.18
01M378,SCHOOL FOR GLOBAL LEADERS,19,1,23623,20.33,13.7,27.3,56.6,0.8,1.6,4.78,3.2,3.67,3.62,4.07,3.68,38.3,80.1,9,256,3.12,0.32,0.22
01M450,EAST SIDE COMMUNITY SCHOOL,16,1,20377,10.64,11.9,16.5,53.7,3.2,14.6,4.37,4.57,4.53,4.2,4.68,4.31,26.4,64.7,0.9,683,2.51,0.61,0.54
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH SCHOOL",126,91,13776,28.75,33.2,7.7,11.8,7.4,39.9,3.89,3.19,3.97,3.74,4.08,3.08,8,22.8,0.8,1734,4.58,0.9,0.9
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,66,14,19395,29,23.1,13.7,38.6,3.8,20.9,4.25,4.44,3.76,3.74,3.98,3.85,26.5,68.9,2.1,373,3.77,0.55,0.49
02M104,J.H.S. 104 SIMON BARUCH,260,53,16664,23.5,33.7,7.5,19,5.2,34.7,4.21,4.16,3.74,3.19,3.21,3.5,17,43.8,4.1,1134,3.43,0.74,0.72
02M114,EAST SIDE MIDDLE SCHOOL,124,75,17358,29.53,12.2,3.6,8.9,7.8,67.6,4.81,4.48,4.31,3.91,4.03,3.77,15.8,10.9,0,450,4.6,0.9,0.9
02M126,P.S. 126 JACOB AUGUST RIIS,66,18,18820,28.03,62.1,9.3,18,2.7,7.9,4.8,4.71,4.06,3.92,4.23,4.03,18.2,79.6,16.7,784,3.22,0.71,0.69
02M131,M.S. 131,54,7,25468,19.35,81.4,6,10.6,0.2,1.8,3.94,4.29,4.12,3.88,3.81,3.86,25.7,93.3,32.6,436,3.93,0.42,0.46
02M167,J.H.S. 167 ROBERT F. WAGNER,258,77,15175,28.62,21,6,15.9,5,52.1,4.15,3.88,3.63,3.34,3.35,3.45,16.2,30.6,3.1,1336,4.14,0.79,0.76
02M177,YORKVILLE EAST MIDDLE SCHOOL,42,2,,,8.6,12,25.3,4.7,49.4,3.4,3.65,3.84,3.95,4.45,3.69,26.2,34.3,1.7,233,4.2,0.69,0.57
02M217,P.S./I.S. 217 ROOSEVELT ISLAND,6,0,17411,27.26,30,11.4,14.9,5.2,38.5,4.41,4.6,3.61,4.15,4.4,3.37,11.5,33.8,16.4,616,3.92,0.68,0.68
02M225,ELLA BAKER SCHOOL,0,0,19498,15.19,5.6,16.6,32.2,8.4,37.2,3.41,3.77,3.29,3.77,4.44,3.92,21.3,33.4,0.9,320,3.7,0.57,0.47
02M255,M.S. 255 SALK SCHOOL OF SCIENCE,108,70,15683,29.08,16.6,1.8,11.4,8.8,61.4,4.16,4.76,4.6,4.78,4.62,4.75,16.6,10.6,0.5,386,4.42,0.9,0.9
02M260,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,36,17,24751,29.56,12.6,4.6,11.4,7.3,64.1,4.51,2.56,4.06,2.27,4,3.11,16.4,13.6,0.3,604,4.26,0.9,0.88
02M276,BATTERY PARK CITY SCHOOL,56,22,16262,26.92,19.6,4.1,13.2,9.1,54.1,4.65,3.61,3.81,3.87,4.29,3.71,17.8,12.6,3.1,827,4.21,0.79,0.77
02M289,I.S. 289,47,2,17648,29.3,44.2,3.9,11.3,2.1,38.5,4.05,4.43,3.97,3.65,3.95,3.78,23.3,50.2,1.8,283,4.11,0.72,0.67
02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,163,113,15853,31.83,55.1,2,6.5,6.5,30,3.6,4.21,4.22,3.27,4.08,4.03,16.4,38.3,1.4,554,4.34,0.88,0.89
02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,0,0,53217,6.97,3,19.8,43.1,8.6,25.4,3.19,2.1,3,2.74,3.03,3.22,52.3,61.9,25.9,197,4.96,0.33,0.27
02M397,SPRUCE STREET SCHOOL,36,10,20143,24.97,15.8,3.3,13.9,11.9,55.1,3.99,4.14,3.57,3.68,4.45,3.73,16.9,13.2,3,539,4.07,0.79,0.79
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,21,8,13497,22.29,6.9,19.1,16.7,5.3,52,4.82,4.73,4.22,4.02,4.31,4.11,10.6,25,0.8,492,,0.87,0.9
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,9,0,16282,15.52,6.5,21.2,21.4,8.1,42.7,3.48,3.6,3.79,3.75,3.72,3.42,14.9,36.5,0.2,565,3.89,0.88,0.84
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,46,15,16222,13.83,17.1,11.1,26.4,9.1,36.4,4.26,4.24,3.87,3.42,3.67,3.23,20.9,38.9,1.7,750,3.62,0.7,0.62
02M422,QUEST TO LEARN,33,2,18782,25.16,10.8,22,42.7,4.3,20.3,3.13,3.76,3.14,3.38,3.67,3.47,29.9,68.4,2.7,586,2.56,0.47,0.36
02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",15,1,23002,21.29,31.9,19.1,21.3,5.7,22,4.46,3.81,4.64,4.1,4.38,4.54,4.3,53.2,1.4,141,4.18,0.8,0.79
02M655,LIFE SCIENCES SECONDARY SCHOOL,0,0,17047,16.98,6.6,29.1,58.7,2.3,3.3,,,,,,,21.3,81.5,9.1,574,,0.26,0.15
02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,70,8,26853,29.17,42.6,10.9,16.6,2.3,27.5,3.97,4.49,4.28,4.26,4.62,4.39,27.5,57.4,6.2,385,4.33,0.59,0.52
02M933,CITY KNOLL MIDDLE SCHOOL,17,1,,,9.7,25.4,50.8,4.2,9.7,3.24,2.7,2.91,1.74,2.64,1.97,30.1,74.2,8.5,236,3.89,0.35,0.25
03M054,J.H.S. 054 BOOKER T. WASHINGTON,257,150,17359,25.47,11,8.6,14.7,8,57.7,4.42,3.85,4.13,3.62,4.45,3.52,11.5,23.8,1.1,852,4.14,0.89,0.88
03M076,P.S. 076 A. PHILIP RANDOLPH,0,0,21657,21.65,0.4,75.2,21.4,0.2,2.8,4.06,3.66,3.53,3.86,4.09,4.24,23.5,96.2,8.7,472,2.01,0.29,0.23
03M149,P.S. 149 SOJOURNER TRUTH,0,0,24470,18.32,2.1,62.1,28.5,2.1,5.1,3.23,2.86,3.9,3.16,3.41,3,23.4,99.1,15.3,235,2.6,0.25,0.18
03M165,P.S. 165 ROBERT E. SIMON,7,0,18175,22.29,4.8,14.9,60.1,2,18.2,3.9,3.52,2.77,3.48,4.1,3.5,19.9,71.2,13.7,604,2.62,0.43,0.4
03M180,P.S. 180 HUGO NEWMAN,22,2,20175,22.74,2.4,51.6,29.5,5.7,10.8,2.65,2.53,2.6,2.7,3.59,1.95,16.1,71.6,7,545,2.6,0.42,0.38
03M191,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS,6,0,23101,20.56,5.6,31.4,45.9,1.9,15.1,3.44,3.48,3.04,3.47,4.09,3.76,26.7,73.4,9.1,516,2.76,0.31,0.27
03M243,M.S. 243 CENTER SCHOOL,38,14,17592,25.44,6,11.5,18.3,6.4,57.9,3.84,3.94,4.63,4.38,4.23,4.47,14,11.9,0,235,4.52,0.85,0.8
03M245,M.S. M245 THE COMPUTER SCHOOL,70,19,16298,24.18,8,12,27.5,4.7,47.7,4.35,4.11,4.07,2.9,4.17,3.6,19.2,27.3,2,400,3.94,0.76,0.73
03M247,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,12,0,17060,21.67,0,1,97,0,2,4.45,4.49,4.07,4.03,4.46,4.35,25.8,89.4,24.2,198,4.41,0.38,0.33
03M250,M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,0,0,23191,31.67,1.1,29.8,52.8,6.7,9.6,3.43,4.83,3.57,4.64,4.2,4.08,28.7,71.3,6.7,178,2.71,0.34,0.23
03M256,LAFAYETTE ACADEMY,11,0,24280,15.9,1.4,50,34.8,3.6,10.1,3.62,3.93,3.43,3.87,3.98,4.34,23.9,84.1,15.9,138,3.73,0.37,0.29
03M258,COMMUNITY ACTION SCHOOL - MS 258,11,0,22415,21.5,1.3,42.6,46.6,0.4,9,3.95,4.72,3.39,4.62,4.15,4.05,24.7,75.3,4,223,3.94,0.4,0.29
03M291,WEST END SECONDARY SCHOOL,31,6,,,8,5.9,18.9,4.4,62.8,4.8,3.75,4.36,4.2,4.48,4.25,22.4,18.9,0.9,339,4.19,0.8,0.79
03M333,P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,15,1,20066,27.05,6,11.4,17.9,5.7,59,3.99,3.03,3.04,2.64,4.36,2.44,18.6,17.5,2.3,753,3.5,0.73,0.73
03M334,THE ANDERSON SCHOOL,75,58,15971,32,27,2.8,9.1,9.9,51.2,4.66,3.66,4.05,2.66,4.53,3.23,6.5,8.4,0.2,537,4.68,0.9,0.9
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,0,0,21962,9.83,0.7,54,39.2,3.2,2.9,2.41,3.27,3.03,2.99,3.79,3.26,25.5,80.9,3.2,278,3.41,0.27,0.15
03M421,WEST PREP ACADEMY,21,1,24840,19.45,0.5,60.6,36.5,0.5,2,3.54,4.47,3.61,4.13,3.95,3.95,34.5,85.7,6.4,203,3.9,0.31,0.2
03M859,SPECIAL MUSIC SCHOOL,10,7,20398,17.36,14.3,12.1,15,15,43.6,4.77,4.34,4.12,3.15,4.07,3.81,10.2,20.4,0.3,314,4.68,0.9,0.9
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,0,0,21189,13,2.8,63.8,31.1,1.1,1.1,2.6,2.34,3.23,2.76,2.7,2.33,24.3,80.2,11.6,354,4.25,0.2,0.15
03M862,MOTT HALL II,64,12,15372,26.54,4.4,26.6,43.3,6.4,19.3,4.32,4.52,4.15,4.8,4.36,4.11,23.1,62,2,342,4.33,0.61,0.51
04M007,P.S. 007 SAMUEL STERN,0,0,20702,23,2.8,27.5,65.5,1.7,2.5,3.67,3.17,2.64,2.63,2.57,2.82,26.6,90.5,13.2,357,3.66,0.37,0.33
04M012,TAG YOUNG SCHOLARS,54,27,14573,31.35,38.8,18.6,17,10.2,15.3,4.76,3.05,4.08,2.74,3.89,2.5,4.6,38.5,0,587,4.64,0.9,0.9
04M050,P.S. 050 VITO MARCANTONIO,7,0,26862,17.47,2.4,38.6,57.8,0.4,0.8,,,,,,,28.3,95.2,6.4,251,,0.26,0.21
04M057,JAMES WELDON JOHNSON,20,1,19237,24.79,3.5,26,67.4,1.3,1.7,3.35,3.49,3.01,3.22,2.91,3.37,27.4,87.9,10.4,818,2.02,0.39,0.37
04M072,THE LEXINGTON ACADEMY,11,0,23186,14.9,2.6,13.9,80.5,0.3,2.7,3.97,4.57,3.15,3.93,3.13,3.68,24.4,90.2,11.9,620,2.45,0.36,0.33
04M096,P.S. 096 JOSEPH LANZETTA,0,0,21449,22,2.3,25.4,68,1.3,3,3.34,2.65,2.88,3.08,1.97,3.15,31,94,20.4,397,2.09,0.27,0.23
04M108,P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX,9,0,19804,24.23,3.3,31.9,62.4,0.7,1.8,2.71,3.66,3.3,3.38,3.71,4.26,32.1,89.2,9.1,452,3.03,0.28,0.24
04M171,P.S. 171 PATRICK HENRY,43,2,17443,27.07,6.2,26.6,59.9,3,4.3,4.85,4.42,3.89,4.12,3.3,3.92,21.4,69.2,3.3,725,4.2,0.65,0.65
04M206,P.S. 206 JOSE CELSO BARBOSA,17,1,31446,17,2.5,27.9,63.8,2.7,3,3.22,3.67,2.81,3.55,3.3,3.68,41.9,84.1,16.1,473,3.2,0.31,0.28
04M224,M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS,14,0,18936,23.5,9.9,26.7,53.5,1.7,8.1,4.06,4.12,3.91,3.47,3.33,3.51,27.9,72.7,7.6,172,3.95,0.49,0.39
04M372,ESPERANZA PREPARATORY ACADEMY,0,0,24759,22.32,2.1,11.1,85,0.2,1.6,3.3,3.52,3.15,3.46,3.19,3.5,25.6,90.5,29.7,559,3.68,0.22,0.16
04M377,RENAISSANCE SCHOOL OF THE ARTS,6,0,25244,16,1.4,32.7,61.9,1.4,2.7,3.64,4.31,3.73,3.66,3.98,3.98,30.6,93.2,8.8,147,4.2,0.28,0.17
04M406,GLOBAL TECHNOLOGY PREPARATORY,0,0,21886,22.25,3.2,34.4,58.4,3.2,0.8,,,,,,,40.8,86.4,9.6,125,,0.28,0.18
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,8,0,18779,16,8.7,23.9,60.9,2.7,3.7,4.48,4.66,4.12,4.12,3.3,4.31,20.8,79.8,2.7,481,3.74,0.6,0.46
04M825,ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE,20,1,20734,21.6,5.7,26,65.6,0,2.6,3,3.14,3.41,3.58,3.13,3.75,31.3,91.1,12,192,4.42,0.35,0.26
04M964,CENTRAL PARK EAST II,6,0,24262,14.5,6.5,29.5,35,8.5,20.5,4.11,4.28,2.91,3.53,3.95,3.14,21.7,42.2,0.4,448,2.42,0.48,0.41
05M046,P.S. 046 ARTHUR TAPPAN,8,0,18174,22.48,0.6,48.7,48.7,1.2,0.8,2.75,3.12,3.31,2.84,2.95,3.34,29.8,94.1,10.4,661,3.09,0.24,0.21
05M123,P.S. 123 MAHALIA JACKSON,0,0,23974,19.42,1.5,51.4,40.7,2.3,4.2,2.86,3.1,2.92,3.37,3.37,3.55,24.8,95.4,19.6,479,3.08,0.26,0.2
05M129,P.S. 129 JOHN H. FINLEY,21,1,22732,20.81,3.4,48.5,44.4,2.5,1.1,2.37,2.82,2.37,2.34,1.83,3.24,25.3,92.9,8.5,435,3.34,0.32,0.27
05M148,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,10,0,31509,22.33,0.3,68.9,24.5,5.7,0.6,3.28,3.65,3.06,4.18,,,28,76.1,3.1,318,2.1,0.3,0.21
05M161,P.S. 161 PEDRO ALBIZU CAMPOS,16,1,21096,22.83,2.1,20.6,74.1,1.1,2,2.6,3.24,2.86,3.52,3.77,3.84,24.8,96.4,26.7,838,2.83,0.31,0.29
05M286,URBAN ASSEMBLY ACADEMY FOR FUTURE LEADERS,15,1,24503,21.5,2.4,55.6,34.9,5.3,1.8,2.69,2.56,2.62,2.32,3.16,2.88,33.1,89.9,6.5,169,2.58,0.26,0.15
05M302,KAPPA IV,0,0,20260,21.89,4.3,59.6,33.3,0.7,2.1,,,,,,,31.2,95.7,16.3,141,,0.18,0.15
05M362,COLUMBIA SECONDARY SCHOOL,42,23,14678,22.13,9.5,23.4,40.9,3.4,22.8,4.35,4.01,3.8,3.65,4.15,3.78,15,53.6,0.6,702,4.39,0.82,0.81
05M499,FREDERICK DOUGLASS ACADEMY,13,0,16735,20.29,1.4,69.5,24.5,2.9,1.7,1.93,2.17,2.36,2,,,16.1,76.1,4.1,1362,2.05,0.28,0.19
05M514,NEW DESIGN MIDDLE SCHOOL,11,0,24330,16.26,0,55.4,41.5,0.8,2.3,,,2.15,,,,39.2,91.5,6.2,130,2.79,0.24,0.15
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,10,0,18888,18.33,1.8,69.7,25.8,1.5,1.3,3.28,4.36,4.18,3.7,3.51,3.61,19.2,73.7,3.5,547,1.82,0.48,0.37
06M018,P.S. 018 PARK TERRACE,6,0,21437,22.74,0.3,2,96.9,0,0.8,3.78,4.38,3.75,4.13,3.81,4.35,21,92.6,32.9,353,2.48,0.32,0.3
06M052,J.H.S. 052 INWOOD,13,0,22924,22.21,0,3.4,94.8,1.1,0.7,3.5,3.4,2.87,2.91,4.1,3.65,21.3,97.4,42.7,267,3.7,0.24,0.17
06M143,J.H.S. 143 ELEANOR ROOSEVELT,17,1,24818,21.24,0,2.3,91.7,0.8,5.3,2.86,3.77,2.61,3.13,3.27,3.91,27.9,88.7,58.9,265,3.25,0.17,0.15
06M187,P.S./I.S. 187 HUDSON CLIFFS,36,2,17120,31.12,4.3,3.4,51.8,4.1,36.4,3.95,3.63,3.84,3.93,4.36,3.9,17.5,42.1,4.8,799,3.5,0.64,0.6
06M209,HAMILTON GRANGE MIDDLE SCHOOL,18,1,,,1.1,12.4,83.1,1.5,1.9,3.74,3.45,3.65,3.91,4.2,3.61,22.1,92.9,23.2,267,3.66,0.34,0.24
06M210,P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP,8,2,21254,25.3,0.5,2.4,96.9,0.2,0,3.8,3.63,3.75,3.69,3.85,3.79,22,91.6,35.8,419,3.8,0.46,0.51
06M218,I.S. 218 SALOME URENA,0,0,26887,19.32,0.6,4,94.3,0.6,0.6,,,,,,,22.9,93.7,41.7,175,,0.25,0.15
06M223,THE MOTT HALL SCHOOL,81,2,20477,21.77,2.4,9.2,82.2,1.4,4.8,3,3.64,3.79,3.7,3.83,4.07,14,80.1,2.7,292,4.43,0.67,0.64
06M278,PAULA HEDBAVNY SCHOOL,24,9,18641,29.56,2.1,2,78.9,1.1,15.9,4.14,3.94,4.12,4.46,4.36,4.53,19.5,66.7,15.2,559,4.06,0.56,0.48
06M293,CITY COLLEGE ACADEMY OF THE ARTS,13,0,18560,28.24,1.5,3.5,91.4,0.7,3,3.24,3.33,3.27,3.12,3.4,3.31,14.6,82.6,5.5,602,3.64,0.53,0.45
06M311,AMISTAD DUAL LANGUAGE SCHOOL,12,0,19824,22.74,1.5,1.5,91.9,0.8,4.3,3.82,3.66,3.9,3.99,3.94,4.18,13.2,81,25.3,395,4.09,0.44,0.4
06M319,M.S. 319 - MARIA TERESA,27,2,21258,21.23,0.2,4.3,94.3,0,1.2,4.59,4.18,4.19,3.64,4.48,3.86,23.2,97.8,37.3,418,3.53,0.32,0.26
06M322,MIDDLE SCHOOL 322,22,1,21632,21.11,0.6,3.2,94.5,0,1.6,4.53,4.17,3.12,4.19,4.3,3.87,20.6,92.6,39,310,3.66,0.29,0.23
06M324,M.S. 324 - PATRIA MIRABAL,20,1,22577,22.5,0.5,12,84.2,0.5,2.8,4.79,4.41,4.04,3.83,3.62,3.86,27.1,90.5,34.3,399,3.84,0.31,0.22
06M328,COMMUNITY MATH & SCIENCE PREP,9,0,24851,16.22,3.9,12.7,82.5,0.4,0.4,2.35,3.21,2.88,3.42,4.37,3.83,35.8,99.1,50.7,229,2.85,0.15,0.15
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,16,1,18856,16.67,0.9,6.5,90.8,0.3,1.6,3.72,4.64,4.05,4.42,4.24,4.39,18.9,93,17.4,703,4.11,0.36,0.29
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,6,0,19546,26,0.9,3.4,91.7,0.6,3.4,4.75,4.34,4.06,4.3,3.66,4.33,20.6,76.3,15.5,815,3.21,0.36,0.27
06M349,HARBOR HEIGHTS,0,0,22135,23,0,0,100,0,0,3.77,3.34,4.32,3.69,4.15,4.21,0,98.4,85.3,129,3.45,0.15,0.15
06M366,WASHINGTON HEIGHTS ACADEMY,15,1,17838,28.33,1.9,1.8,93.9,0.7,1.8,3.9,3.86,3.79,3.59,4.17,3.62,15.6,89.5,12.8,571,4.49,0.59,0.57
06M528,I.S. 528 BEA FULLER RODGERS SCHOOL,0,0,20975,22.6,0.4,1.3,98.2,0,0,3.91,3.68,4.52,3.95,4.45,3.58,17.4,96,24.6,224,3.62,0.36,0.21
07X005,P.S. 5 PORT MORRIS,8,0,20312,22.25,0.4,27.4,68.4,0.8,2.9,4.12,3.27,2.5,3.36,2.74,3.02,22.3,95.4,23.3,722,2.29,0.26,0.23
07X029,P.S./M.S. 029 MELROSE SCHOOL,10,0,21645,22.71,1.5,29.9,66,1.4,1.1,4.06,3.74,3.38,2.78,3.13,3.34,20.2,92.4,12.8,792,2.19,0.26,0.22
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,9,0,19918,25.32,2.8,27.4,66.4,0.8,2.5,2.16,2.75,2.94,3.13,2.74,3.47,24.6,91.2,14,708,2.97,0.27,0.24
07X151,J.H.S. 151 LOU GEHRIG,0,0,24328,17.97,0,26.8,70.5,0.4,2.3,3.59,3.78,3.01,3.6,4.07,3.94,24.5,99.2,33.7,261,2.05,0.21,0.15
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,8,0,19410,26.83,1.5,25,71,0.6,1.8,4.44,4.58,4.61,4.2,3.18,4.18,26.7,96.4,7.3,659,4.06,0.35,0.28
07X223,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X223,18,1,19074,25.06,0.6,17.8,80.6,0.3,0.7,4.52,3.84,4.13,2.72,3.36,3.28,21.3,97.4,8.9,684,4.34,0.48,0.41
07X224,P.S./I.S. 224,0,0,21783,19.24,0.3,26.3,71.8,0.3,1.4,2.64,1.92,2.27,2.82,3.36,2.37,27.1,98,22.1,358,2.18,0.22,0.16
07X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,6,0,22138,19.84,1.2,32.8,64,1.2,0.8,2.73,3.36,2.59,3.41,2.79,3.07,31.6,93.3,10.3,253,3.18,0.24,0.15
07X298,ACADEMY OF PUBLIC RELATIONS,9,0,20363,18.15,0.4,20.6,76.5,0.8,1.6,3.12,2.47,3.09,2.82,3.47,3.04,27.1,91.1,27.9,247,2.61,0.27,0.17
07X343,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,31,2,22281,22.77,0.7,28.3,69,0.7,1.3,4.09,4.41,3.76,4.15,3.61,4.14,25,94.3,11.7,300,4.3,0.35,0.25
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,0,0,17909,19.18,2.2,22,73.6,0.8,1.4,3.21,3.84,3.88,3.76,3.89,4.09,21.9,85.4,4.3,508,3.32,0.43,0.35
07X551,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,0,0,18612,12.17,0.3,33.2,62.9,0.7,2.9,4.48,3.52,3.23,3.89,3.62,3.64,30.7,89.8,14.1,590,3.26,0.25,0.17
07X584,I.S. 584,10,0,,,0,24.2,75.1,0.7,0,,,,,,,33.2,97.1,23.1,277,,,
08X071,P.S. 071 ROSE E. SCALA,96,2,18321,25.53,8.2,5,62.5,1.5,22.8,3.82,4.02,3.09,3.25,2.96,3.28,19.6,73,10.9,1646,3.41,0.49,0.45
08X101,M.S. X101 EDWARD R. BYRNE,66,7,18173,23.14,12.5,9.9,57,1.9,18.6,3.67,4.09,3.48,3.8,3.42,3.95,23.8,74.5,1.7,526,3.25,0.66,0.59
08X123,J.H.S. 123 JAMES M. KIERAN,11,0,21408,21.96,2.8,23.7,72.4,0.8,0.3,3.21,3.65,2.69,3.64,3.63,3.73,27.3,87.3,26.5,355,3.34,0.22,0.15
